source,target,weight
76,26,29
76,183,2
76,38,1
76,125,1
76,212,1
76,129,2
76,204,3
76,153,1
82,99,1
82,183,1
82,200,3
82,125,1
230,103,2
230,207,3
230,80,2
230,90,19
230,122,2
230,243,1
230,195,45
230,128,2
230,113,6
230,72,2
230,86,24
230,224,4
230,232,23
230,129,11
230,143,16
230,99,20
230,183,9
230,51,1
230,114,1
230,31,1
230,154,39
230,220,1
230,215,1
230,117,6
230,157,1
230,64,12
230,125,2
230,8,1
230,83,1
230,55,3
230,197,2
230,204,4
230,153,3
230,76,1
230,131,1
230,196,2
230,176,3
230,185,14
6,12,2
74,215,2
74,65,1
74,89,4
74,44,1
74,133,20
74,166,4
74,206,2
74,212,47
74,203,3
74,71,4
74,188,4
74,180,1
74,187,1
74,98,4
74,161,1
74,222,4
74,38,3
74,235,3
74,231,3
74,132,1
74,218,3
74,158,2
74,76,3
74,120,3
74,64,2
74,101,3
74,17,3
74,152,3
74,139,3
74,23,3
74,103,3
74,16,3
74,8,2
74,59,3
74,207,1
74,80,3
74,66,2
74,117,1
74,183,4
74,232,8
74,122,3
74,216,3
74,173,1
74,199,1
74,26,1
74,40,1
74,99,4
74,136,1
74,41,2
74,91,3
74,163,1
74,153,1
74,220,1
74,82,1
74,157,1
74,202,1
74,92,1
74,204,1
74,241,1
74,174,3
74,239,1
74,106,1
74,221,1
74,200,2
74,125,3
74,83,1
74,129,5
74,130,1
74,154,2
74,31,2
74,236,1
74,105,1
74,176,2
46,106,6
46,215,5
46,65,1
46,89,1
46,44,4
46,193,4
46,133,1
46,166,1
46,206,5
46,212,56
46,203,5
46,71,1
46,188,1
46,180,5
46,187,5
46,98,1
46,161,1
46,222,2
46,38,5
46,235,1
46,231,1
46,132,1
46,218,2
46,76,1
46,120,1
46,64,24
46,101,1
46,17,1
46,152,1
46,139,1
46,23,1
46,103,1
46,74,1
46,16,1
46,8,1
46,59,1
46,151,4
46,207,3
46,80,1
46,66,6
46,90,3
46,242,2
46,238,2
46,190,2
46,117,3
46,183,1
46,232,5
46,122,2
46,216,13
46,173,1
46,243,10
46,154,1
46,51,5
46,129,7
46,26,1
46,174,55
46,40,2
46,99,1
46,136,5
46,157,1
46,239,1
46,41,3
46,91,1
46,14,4
46,52,4
46,47,1
46,43,22
46,116,1
46,153,1
46,220,1
46,36,1
46,240,3
46,167,4
46,140,2
46,97,6
46,82,4
46,138,4
46,2,4
46,221,2
46,1,4
46,170,3
46,77,4
46,142,4
46,119,3
46,126,2
46,202,1
46,244,1
46,92,1
46,204,1
46,241,1
46,111,1
46,233,3
46,93,3
46,107,6
46,156,1
46,21,1
46,143,8
46,195,8
46,7,1
46,70,1
46,48,1
46,200,1
46,128,1
46,223,1
46,121,7
46,57,1
240,203,4
240,222,4
240,136,18
240,47,1
240,111,9
240,93,1
240,174,2
240,66,2
240,70,1
240,244,2
240,107,11
240,156,3
144,89,1
144,44,1
144,166,1
144,206,21
144,212,1
144,71,1
144,188,1
144,180,1
144,187,1
144,98,157
144,161,1
144,222,1
144,117,1
144,216,1
144,199,1
144,215,1
144,183,2
144,232,32
144,18,12
125,44,1
125,166,19
125,71,4
125,231,1
125,132,3
125,218,1
125,158,2
125,76,2
125,120,1
125,64,13
125,23,12
125,207,4
125,117,3
125,183,188
125,232,103
125,216,1
125,192,1
125,236,6
125,129,130
125,143,13
125,195,7
125,128,2
125,153,13
125,194,8
125,82,1
125,72,3
125,131,4
125,204,38
125,50,2
125,86,1
125,241,10
125,90,8
125,8,1
125,105,1
125,69,1
125,206,4
125,99,31
125,51,7
125,80,1
125,113,1
125,114,2
125,230,8
125,185,1
125,31,12
125,174,4
125,220,6
125,215,2
125,161,2
125,221,1
125,200,1
125,212,4
125,91,1
125,133,1
125,235,1
125,224,1
125,49,4
125,83,2
125,55,43
125,160,7
125,173,2
125,197,3
125,130,2
125,154,4
125,98,14
125,188,1
125,144,9
125,196,21
125,176,41
125,103,3
125,233,1
244,106,13
244,222,18
244,41,1
244,107,5
244,156,24
244,216,17
244,174,19
244,40,7
244,215,1
244,161,2
244,136,46
244,240,13
244,111,6
244,93,11
171,69,1
171,222,13
171,38,34
171,242,1
171,117,21
171,232,43
171,82,4
171,130,6
171,212,14
171,16,11
171,161,4
171,216,18
171,174,8
171,239,2
171,40,1
171,106,2
171,220,3
171,44,12
171,215,8
171,66,4
171,99,6
171,26,2
171,17,2
171,84,2
171,221,21
171,183,13
171,48,2
171,157,4
171,203,4
171,47,2
171,24,2
171,210,2
171,200,5
171,43,2
171,71,5
171,64,2
171,125,1
171,91,2
171,133,3
171,206,1
171,235,1
171,8,9
171,224,5
171,49,1
171,83,3
171,51,4
171,55,1
171,129,3
171,132,2
171,160,4
171,163,3
171,173,1
171,197,1
171,201,2
171,204,3
171,80,2
171,238,7
171,223,1
171,153,2
171,154,5
171,10,24
171,187,6
171,46,1
171,188,1
171,207,2
171,74,6
171,195,1
171,179,1
171,135,18
171,180,1
171,75,1
177,215,59
177,65,1
177,89,1
177,44,26
177,133,2
177,166,14
177,206,599
177,212,95
177,203,1
177,71,12
177,188,7
177,180,1
177,187,34
177,98,7
177,161,41
177,222,1
177,38,9
177,235,6
177,231,1
177,132,34
177,218,1
177,76,5
177,120,4
177,64,1603
177,101,2
177,17,1
177,152,6
177,139,1
177,23,13
177,103,5
177,74,2
177,16,6
177,8,101
177,59,1
177,207,65
177,80,57
177,66,1
177,90,117
177,117,49
177,183,443
177,232,367
177,122,6
177,216,14
177,124,28
177,173,269
177,243,162
177,49,103
177,154,61
177,12,1
177,201,4
177,51,93
177,129,182
177,143,149
177,26,18
177,40,1
177,195,109
177,99,245
177,20,7
177,197,137
177,136,1
177,41,1
177,91,42
177,200,35
177,128,41
177,163,203
177,153,415
177,100,3
177,237,36
177,220,24
177,77,8
177,142,1
177,113,2
177,72,15
177,131,3
177,202,15
177,224,24
177,92,1
177,204,69
177,241,33
177,123,164
177,50,1
177,130,73
177,55,34
177,105,10
177,69,1
177,158,2
177,192,2
177,114,1
177,230,84
177,185,1
177,194,3
177,31,68
177,174,40
177,106,1
177,36,8
177,84,1
177,221,25
177,138,2
177,116,1
177,5,4
177,70,8
177,2,2
177,48,123
177,157,23
177,112,1
177,43,1
177,125,216
177,83,14
177,168,2
177,82,47
177,79,10
177,160,2
177,86,5
177,240,1
177,171,1
177,223,1
177,150,1
177,10,3
177,58,1
177,88,1
177,236,1
177,73,2
177,0,1
177,81,1
177,162,3
177,52,1
177,196,21
177,179,1
177,135,11
177,176,15
177,95,4
177,233,1
177,75,6
177,198,5
12,206,3
12,6,2
12,232,1
12,15,18
12,4,1
12,161,1
12,99,2
12,183,6
12,43,1
12,8,4
12,173,2
110,161,6
110,64,207
110,103,2
110,207,52
110,80,485
110,90,28
110,122,13
110,243,2
110,154,49
110,51,63
110,129,42
110,195,160
110,20,6
110,197,12
110,200,1
110,128,1
110,163,20
110,194,1
110,77,6
110,113,7
110,72,6
110,86,30
110,224,25
110,185,13
110,65,1
110,143,3
110,192,3
110,230,167
110,241,1
110,216,1
110,44,1
110,117,5
110,36,3
110,99,12
110,26,1
110,221,1
110,5,1
110,183,16
110,232,9
110,125,18
110,212,2
110,91,1
110,206,11
110,235,1
110,8,3
110,49,1
110,83,1
110,55,1
110,82,6
110,160,1
110,173,2
110,201,1
110,153,1
110,130,2
110,31,4
110,98,1
110,196,2
110,176,2
110,75,1
187,215,31
187,89,1
187,44,1
187,166,1
187,206,7
187,212,23
187,71,52
187,188,2
187,180,1
187,98,3
187,161,67
187,222,1
187,38,1
187,231,1
187,132,4
187,218,1
187,158,1
187,76,1
187,120,1
187,64,26
187,101,1
187,17,1
187,152,8
187,207,3
187,66,1
187,117,23
187,183,92
187,232,153
187,216,3
187,22,1
187,192,1
187,129,13
187,99,17
187,105,14
187,29,1
187,202,9
187,90,2
187,51,11
187,77,2
187,174,16
187,106,1
187,220,2
187,36,1
187,26,1
187,140,1
187,221,11
187,157,1
187,125,7
187,8,1
187,224,2
187,83,13
187,160,5
187,173,3
187,204,1
187,153,2
187,130,8
187,154,3
187,236,21
187,74,1
187,162,1
187,123,1
187,241,8
187,194,1
91,192,9
16,139,20
16,5,363
16,84,41
16,7,225
16,116,24
16,24,11
16,136,21
16,65,31
16,138,12
16,118,7
16,216,1
16,106,7
16,215,1
16,161,1
16,26,2
16,17,3
16,155,3
16,183,1
16,38,53
16,166,1
16,203,15
16,212,1
16,91,1
16,8,2
16,83,1
16,59,1
86,215,1
86,89,7
86,44,7
86,206,5
86,212,7
86,71,7
86,188,7
86,187,7
86,98,7
86,161,7
86,222,7
86,231,7
86,132,7
86,64,15
86,152,7
86,90,1
86,117,10
86,183,34
86,232,23
86,216,7
